full_date,date_key,year,quarter,month,day,day_of_week
2024-05-25,20240525,2024,2,5,25,Saturday
2024-05-28,20240528,2024,2,5,28,Tuesday
2024-06-01,20240601,2024,2,6,1,Saturday
2024-06-04,20240604,2024,2,6,4,Tuesday
2024-06-05,20240605,2024,2,6,5,Wednesday
2024-06-08,20240608,2024,2,6,8,Saturday
2024-06-10,20240610,2024,2,6,10,Monday
2024-06-11,20240611,2024,2,6,11,Tuesday
2024-06-15,20240615,2024,2,6,15,Saturday
2024-06-18,20240618,2024,2,6,18,Tuesday
2024-06-26,20240626,2024,2,6,26,Wednesday
2024-06-27,20240627,2024,2,6,27,Thursday
2024-07-05,20240705,2024,3,7,5,Friday
2024-07-06,20240706,2024,3,7,6,Saturday
2024-07-08,20240708,2024,3,7,8,Monday
2024-07-13,20240713,2024,3,7,13,Saturday
2024-07-14,20240714,2024,3,7,14,Sunday
2024-07-16,20240716,2024,3,7,16,Tuesday
2024-07-21,20240721,2024,3,7,21,Sunday
2024-07-22,20240722,2024,3,7,22,Monday
2024-07-23,20240723,2024,3,7,23,Tuesday
2024-07-24,20240724,2024,3,7,24,Wednesday
2024-07-25,20240725,2024,3,7,25,Thursday
2024-07-27,20240727,2024,3,7,27,Saturday
2024-07-28,20240728,2024,3,7,28,Sunday
2024-07-31,20240731,2024,3,7,31,Wednesday
2024-08-01,20240801,2024,3,8,1,Thursday
2024-08-03,20240803,2024,3,8,3,Saturday
2024-08-05,20240805,2024,3,8,5,Monday
2024-08-07,20240807,2024,3,8,7,Wednesday
2024-08-09,20240809,2024,3,8,9,Friday
2024-08-10,20240810,2024,3,8,10,Saturday
2024-08-11,20240811,2024,3,8,11,Sunday
2024-08-13,20240813,2024,3,8,13,Tuesday
2024-08-18,20240818,2024,3,8,18,Sunday
2024-08-20,20240820,2024,3,8,20,Tuesday
2024-08-26,20240826,2024,3,8,26,Monday
2024-08-27,20240827,2024,3,8,27,Tuesday
2024-08-28,20240828,2024,3,8,28,Wednesday
2024-09-04,20240904,2024,3,9,4,Wednesday
2024-09-05,20240905,2024,3,9,5,Thursday
2024-09-06,20240906,2024,3,9,6,Friday
2024-09-08,20240908,2024,3,9,8,Sunday
2024-09-11,20240911,2024,3,9,11,Wednesday
2024-09-14,20240914,2024,3,9,14,Saturday
2024-09-16,20240916,2024,3,9,16,Monday
2024-09-17,20240917,2024,3,9,17,Tuesday
2024-09-18,20240918,2024,3,9,18,Wednesday
2024-09-19,20240919,2024,3,9,19,Thursday
2024-09-24,20240924,2024,3,9,24,Tuesday
2024-09-29,20240929,2024,3,9,29,Sunday
2024-10-02,20241002,2024,4,10,2,Wednesday
2024-10-04,20241004,2024,4,10,4,Friday
2024-10-05,20241005,2024,4,10,5,Saturday
2024-10-07,20241007,2024,4,10,7,Monday
2024-10-09,20241009,2024,4,10,9,Wednesday
2024-10-11,20241011,2024,4,10,11,Friday
2024-10-12,20241012,2024,4,10,12,Saturday
2024-10-13,20241013,2024,4,10,13,Sunday
2024-10-14,20241014,2024,4,10,14,Monday
2024-10-20,20241020,2024,4,10,20,Sunday
2024-10-21,20241021,2024,4,10,21,Monday
2024-10-23,20241023,2024,4,10,23,Wednesday
2024-10-24,20241024,2024,4,10,24,Thursday
2024-10-25,20241025,2024,4,10,25,Friday
2024-10-26,20241026,2024,4,10,26,Saturday
2024-10-28,20241028,2024,4,10,28,Monday
2024-11-04,20241104,2024,4,11,4,Monday
2024-11-05,20241105,2024,4,11,5,Tuesday
2024-11-06,20241106,2024,4,11,6,Wednesday
2024-11-07,20241107,2024,4,11,7,Thursday
2024-11-10,20241110,2024,4,11,10,Sunday
2024-11-11,20241111,2024,4,11,11,Monday
2024-11-12,20241112,2024,4,11,12,Tuesday
2024-11-14,20241114,2024,4,11,14,Thursday
2024-11-21,20241121,2024,4,11,21,Thursday
2024-11-22,20241122,2024,4,11,22,Friday
2024-11-24,20241124,2024,4,11,24,Sunday
2024-11-25,20241125,2024,4,11,25,Monday
2024-11-28,20241128,2024,4,11,28,Thursday
2024-11-30,20241130,2024,4,11,30,Saturday
2024-12-02,20241202,2024,4,12,2,Monday
2024-12-03,20241203,2024,4,12,3,Tuesday
2024-12-10,20241210,2024,4,12,10,Tuesday
2024-12-12,20241212,2024,4,12,12,Thursday
2024-12-13,20241213,2024,4,12,13,Friday
2024-12-16,20241216,2024,4,12,16,Monday
2024-12-18,20241218,2024,4,12,18,Wednesday
2024-12-19,20241219,2024,4,12,19,Thursday
2024-12-20,20241220,2024,4,12,20,Friday
2024-12-23,20241223,2024,4,12,23,Monday
2024-12-25,20241225,2024,4,12,25,Wednesday
2024-12-26,20241226,2024,4,12,26,Thursday
2024-12-27,20241227,2024,4,12,27,Friday
2024-12-29,20241229,2024,4,12,29,Sunday
